Iteration,Time,MaxReturn,MeanKLBefore,LossBefore,ProcessExecTime,Perplexity,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,AverageDiscountedReturn,StdReturn,MeanKL,ItrTime,dLoss,AverageReturn,Entropy,NumTrajs,LossAfter,PolicyExecTime
20,96.75364661216736,-1185.0859473038688,0.0,-1.8072128682433686e-08,0.05643129348754883,16713.855,0.9707998,3.9126882553100586,0.9735691765627164,-1814.5852949596535,-652.5130200904102,185.44005237116528,0.00999323558062315,4.664539337158203,0.03236938323378524,-1505.907247119346,9.723993,50,-0.032369401305913925,0.09208273887634277
21,101.31473517417908,-1225.8907495275182,0.0,-9.60826884721655e-09,0.0444486141204834,16287.582,0.96723115,3.753312349319458,0.9844262247748191,-1883.8792063720534,-653.6273643160854,171.12345672779352,0.006533058360219002,4.558184623718262,0.026032635647058378,-1509.5593826740912,9.698158,50,-0.026032645255327225,0.08531951904296875
22,105.83668756484985,-1249.5864448969207,0.0,2.1171569386524425e-08,0.04564785957336426,16053.78,0.965232,3.957343339920044,0.6422001218831308,-1914.3140094952485,-663.34347868193,155.81053518612978,0.009858381934463978,4.517974138259888,0.03643618406057314,-1533.8910588799645,9.6837,50,-0.036436162889003754,0.09359550476074219
23,110.45877313613892,-1082.3222803862714,0.0,5.245208711812666e-10,0.04555225372314453,16013.152,0.96487087,4.09977912902832,0.9806203335969504,-1793.5135237878783,-661.5665778384397,151.34612648426136,0.006463337689638138,4.6191041469573975,0.02656562492549419,-1528.0418923580653,9.681166,50,-0.02656562440097332,0.1032404899597168
24,115.0653669834137,-1187.0286634710649,0.0,-1.046657605030532e-08,0.04693269729614258,15860.379,0.96359277,4.085636615753174,0.9778936636100141,-1944.901492376465,-659.5370018701847,186.91065923752845,0.0064699980430305,4.603908538818359,0.025028430634736587,-1524.7877638409493,9.671579,50,-0.025028441101312637,0.10106205940246582
25,119.52594304084778,-1207.265431682382,0.0,5.722046170220096e-10,0.04512429237365723,15598.828,0.9613009,3.9489150047302246,0.9665564362277728,-1898.3436475733267,-642.399994175971,183.5603781977685,0.009971482679247856,4.4576897621154785,0.03295304683446887,-1484.259679085792,9.654951,50,-0.03295304626226425,0.09591031074523926
26,124.08461141586304,-1037.3975292884763,0.0,-4.386901952813105e-09,0.04529523849487305,15517.934,0.9605816,4.0187695026397705,0.9641569507930893,-1851.943369746889,-654.9815416508496,190.46688229575807,0.00645380700007081,4.555950880050659,0.02573275313675394,-1515.1949104066575,9.649752,50,-0.02573275752365589,0.10325264930725098
27,128.69414019584656,-1201.5816694647842,0.0,-5.60283641704018e-09,0.04557347297668457,15483.343,0.96027935,3.899578809738159,0.9707398436893365,-1908.321016617094,-656.8395473629752,182.4253922294103,0.006445570383220911,4.6045920848846436,0.026135925188660813,-1516.7751650154316,9.64752,50,-0.02613593079149723,0.09324169158935547
28,133.2098982334137,-1066.4203263233933,0.0,-5.6552888594296746e-08,0.04551887512207031,15343.187,0.9590202,3.9592692852020264,0.970137424573454,-1866.3410093253538,-672.0087678051555,178.09835502504737,0.006481875665485859,4.5113160610198975,0.025380979549883165,-1559.7264933406673,9.638427,50,-0.02538103610277176,0.09868431091308594
29,137.81689167022705,-1168.5061794170024,0.0,-8.583068700218632e-10,0.046445608139038086,15188.039,0.9576345,4.043538808822632,0.9756702119003943,-1860.14383260548,-636.0986989618668,162.74538432461304,0.009818260557949543,4.602214574813843,0.03223165038824083,-1471.2699500218732,9.628263,50,-0.0322316512465477,0.10834860801696777
30,142.4022560119629,-1068.0928376251113,0.0,8.225440950582197e-08,0.05611848831176758,15204.081,0.95777714,4.035518646240234,0.9833313816854203,-1858.1634786690872,-658.6363486855469,157.13024067232934,0.006459646392613649,4.5823445320129395,0.02539473988115759,-1521.5564181219897,9.629319,50,-0.025394657626748085,0.10087227821350098
31,146.85969471931458,-1096.8208567894512,0.0,1.648664493814067e-08,0.04629707336425781,15121.628,0.95704746,3.880058526992798,0.9784603216480352,-1897.2445598661034,-655.0157246152015,201.73427867509645,0.006531104911118746,4.454700708389282,0.025605460351705744,-1515.6190025136643,9.623881,50,-0.025605443865060806,0.09310364723205566
32,151.45138669013977,-1138.420550863321,0.0,1.5354157056890472e-08,0.046253204345703125,14887.346,0.95491385,4.055447101593018,0.9563860039631826,-1799.174931937629,-631.9200681063901,160.3066737916133,0.009934011846780777,4.588581085205078,0.029241333237290945,-1458.5760078667447,9.608267,50,-0.029241317883133888,0.10133886337280273
33,155.97532415390015,-948.6846397572377,0.0,-1.8596648665436533e-09,0.04479384422302246,14547.502,0.9517652,3.9929983615875244,0.9581753402395089,-1793.2981379333514,-641.6521753919235,187.32587956358637,0.00642760144546628,4.5212907791137695,0.027617111805081418,-1484.5170966112353,9.585175,50,-0.027617113664746284,0.09313392639160156
34,160.60237789154053,-1217.8659340825527,0.0,2.0980834847250662e-09,0.045601606369018555,14449.264,0.95085466,4.083090305328369,0.9710174396206327,-1890.6999279203283,-660.893803504647,172.39119118827426,0.0064636413007974625,4.622100830078125,0.024735644695162762,-1530.2288142475145,9.578399,50,-0.024735642597079277,0.09958910942077637
35,165.2021586894989,-1034.5237319804169,0.0,-5.531310964812519e-09,0.04525923728942871,14163.993,0.94819987,4.043254137039185,0.9787173926317065,-1781.6390433275146,-639.0476743602424,156.98813735513502,0.006455819588154554,4.597171306610107,0.026194702890515398,-1474.9903190259083,9.558458,50,-0.026194708421826363,0.10331988334655762
36,169.72978949546814,-1104.5745651480913,0.0,-1.1682510070443186e-08,0.044817209243774414,14017.105,0.9468179,3.962543249130249,0.9617939195970395,-1842.8909670346322,-653.8850106747733,187.72331705983086,0.006407865788787603,4.522707462310791,0.02712563560903103,-1507.781417509631,9.548034,50,-0.0271256472915411,0.09452629089355469
37,174.44585156440735,-1130.6989456857082,0.0,-8.413791618977484e-08,0.06638002395629883,13856.008,0.94524264,3.9783051013946533,0.9667847006520581,-1901.3548798193442,-642.544456257505,188.93121915206808,0.006421789526939392,4.71346116065979,0.025006739103794473,-1484.0383631928219,9.536474,50,-0.025006823241710663,0.0944669246673584
38,178.87632513046265,-1042.8321655867405,0.0,-1.909732816329779e-08,0.0437469482421875,13527.911,0.9420258,3.7506048679351807,0.9720754886150663,-2049.8909752113836,-647.5363445906713,181.80012484962,0.006480765528976917,4.427639961242676,0.026233501261472725,-1497.7055354328895,9.51251,50,-0.026233520358800888,0.08515524864196777
39,183.42039966583252,-1175.7790402134592,0.0,-4.0531160649948106e-09,0.045499563217163086,13427.296,0.9410483,4.000539779663086,0.9793281618689649,-2008.1789163865105,-641.9118471621158,171.1178991498789,0.009982556104660034,4.54109001159668,0.031185378924011964,-1487.9994905336912,9.505045,50,-0.03118538297712803,0.09504008293151855
40,188.09869503974915,-1067.571498639642,0.0,-3.6239624634504253e-09,0.05421781539916992,13051.718,0.93728447,4.107152462005615,0.9540839204908966,-2255.2662128890356,-639.0669217071135,216.26107503748977,0.00994033832103014,4.675447940826416,0.032259453189372955,-1473.2639961064854,9.476675,50,-0.03225945681333542,0.10252094268798828
41,192.707590341568,-918.460255208798,0.0,-2.789497344224401e-08,0.045758962631225586,12891.102,0.9357041,4.070050477981567,0.9654933318237676,-1848.4090654096576,-637.5321174924438,183.81538795343374,0.009868849068880081,4.606032609939575,0.03188947406411202,-1473.649882141716,9.464293,50,-0.031889501959085464,0.10377287864685059
42,197.38646841049194,-1117.3999522414476,0.0,-5.149841442175784e-08,0.04582357406616211,12729.256,0.93401664,4.127784252166748,0.9682486020234061,-1935.6458044375597,-632.5033778509342,181.24552907216435,0.006428408902138472,4.676201581954956,0.02458817391097412,-1461.265793684474,9.451658,50,-0.024588225409388542,0.10013270378112793
43,201.78455710411072,-1163.5789181286316,0.0,-1.1658668697123176e-08,0.04422307014465332,12554.492,0.93220073,3.8655357360839844,0.970083334623177,-1847.1934388198858,-633.282406141209,171.84988494605378,0.0064557939767837524,4.395511865615845,0.02694323796927911,-1460.4031127664452,9.437834,50,-0.026943249627947807,0.09310674667358398
44,206.45086455345154,-1174.9259227302307,0.0,-2.2649764286342133e-09,0.04702329635620117,12673.524,0.93345827,4.1024415493011475,0.971183381917597,-1805.5357033762168,-636.893536120223,157.99047361758528,0.006476973183453083,4.661375522613525,0.025748161196708752,-1469.6693543564083,9.44727,50,-0.02574816346168518,0.10440874099731445
45,210.9095070362091,-911.3087436179271,0.0,-1.1825561863076928e-08,0.04454827308654785,12589.886,0.93253577,3.9302287101745605,0.9602654200720921,-1832.4062028024923,-623.8808949164351,175.53036525959632,0.006484924349933863,4.4556684494018555,0.02502221362888779,-1434.9425589353068,9.440649,50,-0.025022225454449654,0.09596657752990723
46,215.62897491455078,-936.5394301345668,0.0,1.592636067471176e-08,0.047478675842285156,12468.487,0.9312551,4.176455020904541,0.9583318011539931,-1838.6597820368543,-635.5626256991164,209.59501024968247,0.009889370761811733,4.716542720794678,0.03036392582654912,-1460.8429892155289,9.43096,50,-0.030363909900188446,0.1038212776184082
47,220.33392310142517,-1085.2869489056256,0.0,-2.088546757761378e-08,0.04554867744445801,12252.27,0.9289704,4.130425691604614,0.9637692572289643,-2040.5380550426814,-640.1953538247036,196.76347710099506,0.006487655453383923,4.701717853546143,0.024099871119856786,-1475.0371591035905,9.413466,50,-0.024099892005324364,0.1034395694732666
48,224.86298537254333,-1133.7535153020892,0.0,3.013610694324598e-08,0.044855594635009766,12068.679,0.92698056,3.9906413555145264,0.9418627210033769,-1827.0003840756376,-644.7351277741844,165.1231685917506,0.009861045517027378,4.526204824447632,0.03116568211316917,-1490.9320808782536,9.398369,50,-0.031165651977062225,0.09722495079040527
49,229.46814465522766,-987.5802332302884,0.0,-1.206398003716913e-08,0.04521822929382324,11900.464,0.9251102,4.0602827072143555,0.9405497789931642,-1838.4685195570567,-628.7515703089592,203.12104015020103,0.006500797346234322,4.600224256515503,0.027165741702914303,-1442.2856462300226,9.384333,50,-0.02716575376689434,0.10219407081604004
50,234.06299328804016,-989.3998594755861,0.0,-9.858608152057968e-09,0.04602670669555664,11788.647,0.923876,4.0674192905426025,0.9591480139288733,-1895.8868906785838,-631.1059689000639,186.87377384498674,0.009975645691156387,4.591864585876465,0.031169894537329768,-1452.8483842984895,9.374892,50,-0.03116990439593792,0.10112404823303223
51,238.6545114517212,-912.5332689274737,0.0,8.487701208537146e-09,0.04499506950378418,11684.877,0.9227863,4.044962406158447,0.9529254543270496,-1785.9053642928532,-604.3885294864468,208.13804389709142,0.00640491396188736,4.588639259338379,0.024639447325467856,-1388.0725386574063,9.366051,50,-0.024639438837766647,0.09617185592651367
52,243.30242705345154,-1028.7936913608228,0.0,3.814697446813398e-09,0.04565596580505371,11423.9,0.91988295,4.107513904571533,0.964529668831617,-1809.5682657192299,-628.6199700981626,169.05832580724976,0.009947532787919044,4.645076036453247,0.03012319104373473,-1451.596967755605,9.343463,50,-0.030123187229037285,0.10034608840942383
53,247.95044612884521,-965.5109321286401,0.0,-4.804134334790433e-08,0.06798100471496582,11214.529,0.917473,3.996314525604248,0.9456925806226947,-2116.8031426029684,-644.0720784169057,221.81191116870397,0.009969329461455345,4.64542555809021,0.032385223001242025,-1487.0539341882195,9.3249655,50,-0.03238527104258537,0.09685516357421875
54,252.56106185913086,-1014.9451293501353,0.0,9.441375681262798e-09,0.0965874195098877,11204.085,0.9173722,3.937944173812866,0.9281123617050004,-1912.4449182796454,-620.8437362140708,208.5609026676344,0.009965252131223679,4.606500148773193,0.03370973294377322,-1429.7790305828112,9.324034,50,-0.03370972350239754,0.09379458427429199
