EnvExecTime,LossAfter,ExplainedVariance,Perplexity,Iteration,AverageReturn,StdReturn,PolicyExecTime,AveragePolicyStd,Time,MaxReturn,ItrTime,Entropy,MeanKLBefore,MinReturn,LossBefore,MeanKL,AverageDiscountedReturn,NumTrajs,dLoss,ProcessExecTime
22.375157117843628,-0.024439329281449318,2.517014374703308e-10,70.58491,0,12.850970876832989,6.964334610442774,0.6852025985717773,1.0,26.112797021865845,83.91548948938907,26.11280059814453,4.2568164,0.0,2.4982175923549685,5.15145259782912e-09,0.009824463166296482,11.866428300751815,4492,0.024439334432901916,0.6934089660644531
21.86924147605896,-0.025185376405715942,0.43783808011310066,70.2481,1,16.90248093232386,10.280346822336245,0.6589093208312988,0.99841505,52.05111742019653,85.44619383777312,25.93558669090271,4.252033,0.0,2.8215839921225037,-3.6250777935009637e-09,0.006402705796062946,15.138887798135285,3898,0.02518537278063815,0.6720016002655029
20.132328033447266,-0.027961088344454765,0.38450050539790015,70.0632,2,22.97045806202114,15.207140186024905,0.5402143001556396,0.9975421,75.3793408870697,137.14796058216768,23.325414180755615,4.2493978,0.0,2.50921538107705,-9.280745949524771e-09,0.009897276759147644,19.776913425763656,3303,0.027961079063708816,0.6363692283630371
22.47462034225464,-0.019521959125995636,0.2959664915655169,68.78726,3,36.95456111600889,27.465204244890177,0.6826076507568359,0.99145615,101.30538582801819,216.31670799696485,25.923141956329346,4.2310185,0.0,3.057867842118944,2.4119293229318828e-08,0.006504405755549669,29.418982815597275,2545,0.019521983245288865,0.7563574314117432
22.4052472114563,-0.017250897362828255,0.23929110898879813,68.28711,4,57.38580872870379,41.29401932743792,0.6986947059631348,0.9890687,127.1298599243164,290.3152675959805,25.821676015853882,4.223721,0.0,4.036955269951458,2.435054291538563e-08,0.006815814878791571,41.86517692407398,1982,0.01725092171337117,0.7844324111938477
22.193207025527954,-0.015092154033482075,0.22207724215395763,66.95585,5,85.81898670489815,55.630793826996566,0.6655828952789307,0.98262256,153.93877530097961,347.6013697041477,26.806207418441772,4.2040334,0.0,4.947749276325102,1.506338498380444e-09,0.007034076377749443,57.36040748229543,1568,0.015092155539820573,0.7266733646392822
20.71062445640564,-0.011924783699214458,0.23260473028403994,65.86447,6,121.30304546599635,61.123120583922635,0.5872368812561035,0.9772877,177.80772972106934,419.41461233447995,23.861236810684204,4.187599,0.0,7.225942993717928,-4.609029602420378e-09,0.006931916810572147,75.47943998479438,1271,0.011924779090184856,0.6451835632324219
22.257407426834106,-0.009488767944276333,0.30687842588559633,64.72024,7,151.01127768152023,64.16191393395432,0.6890859603881836,0.9716328,203.42525386810303,352.4012826304462,25.614808797836304,4.170074,0.0,8.538059417794159,-1.2825169370955791e-08,0.006555700674653053,89.00212973061588,1101,0.009488755119106962,0.7299234867095947
23.03794288635254,-0.009001754224300385,0.4202824999676902,63.735107,8,176.1658845844803,60.31258486056277,0.7325539588928223,0.9666803,229.97340846061707,371.6317530125237,26.54391574859619,4.1547356,0.0,22.328600124614148,-6.1010752006041e-09,0.006739267613738775,101.75541513573268,1037,0.009001748123225184,0.7681503295898438
21.395081996917725,-0.00846070796251297,0.5538049578633698,62.85692,9,194.8774051349361,54.92024544007138,0.6320793628692627,0.9621493,256.1527111530304,326.60198554296414,26.17655110359192,4.140861,0.0,25.06515728039783,7.842481331010731e-09,0.006987607106566429,110.94089919065561,1000,0.008460715804994301,0.685218334197998
20.821630239486694,-0.007501484360545874,0.7613577551072803,61.827732,10,210.96908949274209,38.97791223927454,0.6059391498565674,0.9568333,280.11808156967163,306.73536266270526,23.962692737579346,4.124352,0.0,32.51870527822419,1.8549600966366597e-08,0.00666322885081172,120.49784660693952,982,0.00750150291014684,0.6159586906433105
22.206798553466797,-0.00635389843955636,0.9052543713689187,60.98559,11,216.7166385187369,24.52133783354929,0.7192931175231934,0.9524741,305.74189829826355,297.80585141108605,25.621137857437134,4.1106377,0.0,48.26951381489775,3.3887928907461173e-08,0.006569231394678354,125.26619188819743,997,0.006353932327485268,0.7377281188964844
22.210556507110596,-0.007540454622358084,0.9526372213257579,60.49669,12,218.49174633901197,17.055039667916553,0.710918664932251,0.94991535,331.2935016155243,264.9154514163934,25.548866510391235,4.1025887,0.0,84.55472655882585,-4.574565171111544e-09,0.0066294497810304165,127.60075451068226,1010,0.007540450047792913,0.7269980907440186
21.270182371139526,-0.009560052305459976,0.9673110012206458,60.188698,13,224.5680937381143,14.489624981590428,0.6447892189025879,0.9483095,357.0256314277649,278.1040404650408,25.729422569274902,4.0974846,0.0,132.6413888708479,1.0697230656830925e-08,0.006591073237359524,130.37561069859714,993,0.009560063002690633,0.69193434715271
20.610339879989624,-0.010676463134586811,0.9648972299331526,60.011677,14,233.9719645997319,16.97173455733308,0.5943686962127686,0.9473801,380.76208090782166,294.6750066582111,23.730613946914673,4.094539,0.0,122.85868838942505,-2.385257680259656e-08,0.0065494258888065815,133.5396451460512,956,0.010676439282010008,0.6256229877471924
21.543979167938232,-0.012505249120295048,0.958356446187075,59.591473,15,248.70752444476005,19.334652954862573,0.6620562076568604,0.9451629,405.67199063301086,309.8175652442261,24.907187700271606,4.0875125,0.0,167.42642736229098,1.7844810074052475e-08,0.006564099807292223,138.1518986429972,903,0.012505266965105122,0.7097532749176025
22.3421688079834,-0.011137167923152447,0.9513060099137692,59.328163,16,264.60001859598066,21.322282411670745,0.7088251113891602,0.94375783,431.3269741535187,323.57444177572995,25.649908781051636,4.083084,0.0,156.4202103583878,2.0916754550626138e-08,0.006555396132171154,142.69154573165298,851,0.011137188839906997,0.7197866439819336
